id#,sec,x,y,z,px,py,pz,sqrt(px*px+py*py+pz*pz)
132,3.005000e-07,2.796059e-01,-1.590185e-02,1.815971e-01,-5.462807e-01,2.011344e-04,8.376022e-01,1.000000e+00
133,3.005000e-07,-8.444046e-02,-8.198828e-03,-3.245185e-01,9.675843e-01,-6.434874e-05,-2.525483e-01,1.000000e+00
134,3.005000e-07,3.251617e-01,-1.522498e-02,7.828320e-02,-2.374729e-01,1.690264e-04,9.713941e-01,1.000000e+00
135,3.005000e-07,-4.720894e-02,-8.597567e-03,-3.319779e-01,9.901828e-01,-5.129355e-05,-1.397787e-01,1.000000e+00
136,3.005000e-07,2.214781e-01,-1.223608e-02,-2.512511e-01,7.481733e-01,5.558675e-05,6.635034e-01,1.000000e+00
137,3.005000e-07,-2.880772e-01,-3.403807e-03,-1.713169e-01,5.091112e-01,-1.780047e-04,-8.607008e-01,1.000000e+00
138,3.005000e-07,-3.222032e-01,2.623166e-03,8.929036e-02,-2.705766e-01,-3.028465e-04,-9.626984e-01,1.000000e+00
139,3.005000e-07,-3.315773e-01,-6.596139e-04,-4.502775e-02,1.315915e-01,-2.378185e-04,-9.913040e-01,1.000000e+00
140,3.005000e-07,-1.060673e-01,-7.393660e-03,-3.181853e-01,9.486504e-01,-8.088967e-05,-3.163265e-01,1.000000e+00
141,3.005000e-07,2.687332e-01,-1.596377e-02,1.977169e-01,-5.942336e-01,2.056728e-04,8.042925e-01,1.000000e+00
142,3.005000e-07,-3.274713e-01,2.818736e-03,6.330195e-02,-1.927585e-01,-3.019483e-04,-9.812462e-01,1.000000e+00
143,3.005000e-07,-2.819659e-01,-3.436663e-03,-1.814272e-01,5.396613e-01,-1.760335e-04,-8.418822e-01,1.000000e+00
144,3.005000e-07,2.036467e-01,-1.630488e-02,2.643639e-01,-7.926642e-01,2.268688e-04,6.096585e-01,1.000000e+00
145,3.005000e-07,-3.335943e-01,1.226545e-04,-2.748019e-02,7.946768e-02,-2.515447e-04,-9.968374e-01,1.000000e+00
146,3.005000e-07,-3.273317e-01,3.063634e-03,6.777274e-02,-2.056001e-01,-3.060094e-04,-9.786360e-01,1.000000e+00
147,3.005000e-07,3.244794e-01,-1.501105e-02,8.002465e-02,-2.417844e-01,1.648702e-04,9.703300e-01,1.000000e+00
148,3.005000e-07,-2.121069e-01,-5.271934e-03,-2.599123e-01,7.746440e-01,-1.326384e-04,-6.323975e-01,1.000000e+00
149,3.005000e-07,-3.310201e-01,-2.270494e-04,-4.792093e-02,1.404712e-01,-2.435205e-04,-9.900847e-01,1.000000e+00
150,3.005000e-07,-4.266603e-02,-9.015467e-03,-3.327866e-01,9.917250e-01,-4.414908e-05,-1.283802e-01,1.000000e+00
151,3.005000e-07,-6.104071e-02,-8.312510e-03,-3.296332e-01,9.832949e-01,-5.811836e-05,-1.820198e-01,1.000000e+00
152,3.005000e-07,-3.028868e-01,-2.489689e-03,-1.425857e-01,4.237625e-01,-1.961140e-04,-9.057733e-01,1.000000e+00
153,3.005000e-07,1.040678e-01,-1.086271e-02,-3.188884e-01,9.503368e-01,9.397012e-06,3.112233e-01,1.000000e+00
154,3.005000e-07,-2.596882e-01,-4.548436e-03,-2.119905e-01,6.308799e-01,-1.532956e-04,-7.758805e-01,1.000000e+00
