id#,sec,x,y,z,px,py,pz,sqrt(px*px+py*py+pz*pz)
171,3.005000e-07,3.254557e-01,-4.523481e-04,-7.743331e-02,2.288223e-01,-1.075065e-04,9.734682e-01,1.000000e+00
172,3.005000e-07,3.310146e-01,-1.107565e-03,-4.363019e-02,1.277838e-01,-9.178178e-05,9.918020e-01,1.000000e+00
173,3.005000e-07,1.780450e-01,3.436552e-03,-2.835015e-01,8.450297e-01,-2.032394e-04,5.347194e-01,1.000000e+00
174,3.005000e-07,1.714315e-01,3.389010e-03,-2.880665e-01,8.578845e-01,-2.038796e-04,5.138425e-01,1.000000e+00
175,3.005000e-07,3.330526e-01,-8.450179e-03,2.567078e-02,-7.972899e-02,3.818154e-05,9.968166e-01,1.000000e+00
176,3.005000e-07,3.335773e-01,-1.668609e-02,1.810566e-02,-5.740478e-02,1.869093e-04,9.983510e-01,1.000000e+00
177,3.005000e-07,6.396837e-02,5.648941e-03,-3.291724e-01,9.812165e-01,-2.515209e-04,1.929098e-01,1.000000e+00
178,3.005000e-07,3.341293e-01,-1.625781e-03,1.175136e-02,-3.857491e-02,-7.622083e-05,9.992557e-01,1.000000e+00
179,3.005000e-07,3.339883e-01,-1.435075e-03,6.755269e-03,-2.341515e-02,-8.023204e-05,9.997258e-01,1.000000e+00
180,3.005000e-07,4.840516e-02,6.047990e-03,-3.317827e-01,9.893016e-01,-2.593546e-04,1.458846e-01,1.000000e+00
181,3.005000e-07,-4.584512e-03,7.477640e-03,-3.352923e-01,9.999171e-01,-2.872917e-04,-1.287138e-02,1.000000e+00
182,3.005000e-07,-1.068346e-02,6.655019e-03,-3.354362e-01,9.994846e-01,-2.763934e-04,-3.210003e-02,1.000000e+00
183,3.005000e-07,3.339663e-01,-1.341709e-03,2.465439e-04,-4.380114e-03,-8.281766e-05,9.999904e-01,1.000000e+00
184,3.005000e-07,2.989717e-01,4.622275e-04,-1.514951e-01,4.493185e-01,-1.332944e-04,8.933716e-01,1.000000e+00
185,3.005000e-07,3.232888e-01,-3.312359e-04,-8.538080e-02,2.521472e-01,-1.113602e-04,9.676889e-01,1.000000e+00
186,3.005000e-07,-1.094615e-01,9.471216e-03,-3.171867e-01,9.454108e-01,-3.282645e-04,-3.258809e-01,1.000000e+00
